Timestamp,Log,Latitude,Longitude
2023-10-20 | 17:07,Rico,-36.84907125343753,174.77377846639587
2023-10-20 | 17:06,Rico,-36.84902353503821,174.7737082471725
2023-10-20 | 16:35,Anders,-36.84886570785476,174.7736265302408
2023-10-20 | 16:35,Anders,-36.84886570785476,174.7736265302408
